X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-73.986599,40.693702,0,0,135,13.6694520240587,2019/10/15 14:26:20+00,,,,,,,,,,,,,,,,,,,,,
-73.986566,40.693691,0,0,136,13.617698414381,2019/10/15 14:26:21+00,,,,,,,,,,,,,,,,,,,,,
-73.986541,40.693684,0,0,137,13.5636476261671,2019/10/15 14:26:22+00,,,,,,,,,,,,,,,,,,,,,
-73.986512,40.693665,0,0,138,13.5141667721992,2019/10/15 14:26:23+00,,,,,,,,,,,,,,,,,,,,,
-73.986483,40.693648,0,0,139,13.4647618233991,2019/10/15 14:26:24+00,,,,,,,,,,,,,,,,,,,,,
-73.98645,40.693632,0,0,140,13.4056158155186,2019/10/15 14:26:25+00,,,,,,,,,,,,,,,,,,,,,
-73.986421,40.693617,0,0,141,13.3171732911466,2019/10/15 14:26:26+00,,,,,,,,,,,,,,,,,,,,,
-73.986383,40.693601,0,0,142,13.2266559887826,2019/10/15 14:26:27+00,,,,,,,,,,,,,,,,,,,,,
-73.986346,40.693589,0,0,143,13.1489324954042,2019/10/15 14:26:29+00,,,,,,,,,,,,,,,,,,,,,
-73.986317,40.69357,0,0,144,13.1965730467227,2019/10/15 14:26:32+00,,,,,,,,,,,,,,,,,,,,,
-73.986291,40.693552,0,0,145,13.2228834512619,2019/10/15 14:26:34+00,,,,,,,,,,,,,,,,,,,,,
-73.986251,40.693535,0,0,146,13.2463946555881,2019/10/15 14:26:36+00,,,,,,,,,,,,,,,,,,,,,
-73.98623,40.693524,0,0,147,13.2428742906931,2019/10/15 14:26:37+00,,,,,,,,,,,,,,,,,,,,,
-73.986211,40.693511,0,0,148,13.2387972023237,2019/10/15 14:26:38+00,,,,,,,,,,,,,,,,,,,,,
-73.986196,40.693492,0,0,149,13.2336688056206,2019/10/15 14:26:39+00,,,,,,,,,,,,,,,,,,,,,
-73.986164,40.693489,0,0,150,13.2131190061714,2019/10/15 14:26:41+00,,,,,,,,,,,,,,,,,,,,,
-73.986127,40.693493,0,0,151,13.1619911906721,2019/10/15 14:26:43+00,,,,,,,,,,,,,,,,,,,,,
-73.986111,40.693507,0,0,152,13.1125643165088,2019/10/15 14:26:45+00,,,,,,,,,,,,,,,,,,,,,
-73.986101,40.693534,0,0,153,13.1036136650157,2019/10/15 14:26:47+00,,,,,,,,,,,,,,,,,,,,,
-73.986066,40.693538,0,0,154,13.1035241585007,2019/10/15 14:26:49+00,,,,,,,,,,,,,,,,,,,,,
-73.986033,40.693548,0,0,155,13.1035232634356,2019/10/15 14:26:52+00,,,,,,,,,,,,,,,,,,,,,
-73.986015,40.693561,0,0,156,13.1035232544036,2019/10/15 14:26:54+00,,,,,,,,,,,,,,,,,,,,,
-73.985972,40.693565,0,0,157,13.1035232543945,2019/10/15 14:27:04+00,,,,,,,,,,,,,,,,,,,,,
-73.985986,40.693538,0,0,158,13.1035232543945,2019/10/15 14:27:08+00,,,,,,,,,,,,,,,,,,,,,
-73.986007,40.69352,0,0,159,13.1035232543945,2019/10/15 14:27:12+00,,,,,,,,,,,,,,,,,,,,,
-73.98603,40.693512,0,0,160,13.1035232543945,2019/10/15 14:27:14+00,,,,,,,,,,,,,,,,,,,,,
-73.98604,40.693489,0,0,161,13.1035232543945,2019/10/15 14:27:20+00,,,,,,,,,,,,,,,,,,,,,
-73.986029,40.693465,0,0,162,13.1035232543945,2019/10/15 14:27:22+00,,,,,,,,,,,,,,,,,,,,,
-73.986025,40.69344,0,0,163,13.1035232543945,2019/10/15 14:27:24+00,,,,,,,,,,,,,,,,,,,,,
-73.986017,40.693419,0,0,164,13.1035232543945,2019/10/15 14:27:26+00,,,,,,,,,,,,,,,,,,,,,
-73.986014,40.693386,0,0,165,13.1035232543945,2019/10/15 14:27:28+00,,,,,,,,,,,,,,,,,,,,,
-73.986009,40.693353,0,0,166,13.1035232543945,2019/10/15 14:27:30+00,,,,,,,,,,,,,,,,,,,,,
-73.986009,40.693324,0,0,167,13.1035232543945,2019/10/15 14:27:32+00,,,,,,,,,,,,,,,,,,,,,
-73.986011,40.693303,0,0,168,13.1965473854065,2019/10/15 14:27:36+00,,,,,,,,,,,,,,,,,,,,,
-73.986025,40.693287,0,0,169,13.2480113743507,2019/10/15 14:27:39+00,,,,,,,,,,,,,,,,,,,,,
